edit_data_type,repetition,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
hallucination_correction,0,which country is the last member of saarc?,['Afghanistan'],Afghanistan,Afghanistan,1,1
hallucination_correction,0,what types of cells go through binary fission?,"['prokaryotic', 'domains of Archaea and Bacteria']",Bacteria and some archaea.,Bacteria and some archaea.,0,1
hallucination_correction,0,where do the blood vessels that supply the retinal cells lie?,"['The optic nerve', 'optic nerve']",In the optic disc.,In the optic disc.,0,0
hallucination_correction,0,green algae is an example of which type of reproduction?,"['alternation of generations .', 'alternation of generations']",Alternation of generations.,Alternation of generations.,1,1
hallucination_correction,0,who did deion sanders go in the hall of fame as?,['Cornerback'],Deion Sanders went into the Hall of Fame as a player.,Deion Sanders went into the Hall of Fame as a player in 2011,0,0
hallucination_correction,0,when does scully come back in season 2?,"['One Breath', '8']","Episode 10, ""Christmas Carol""","Episode 3, ""Syzygy"", in Season 2.",0,0
hallucination_correction,0,when did the eagles play in the superbowl?,"['February 6 , 2005']","1980, 1981, 1986, 1988,","1980, 1981, 1986, 1988,",0,0
hallucination_correction,0,when did hollywood video go out of business?,"['2005 .', 'May 2010']",2010,2010,0,0
hallucination_correction,0,which state was returned to spain after the revolutionary war?,"['Menorca', 'Florida']",Florida,Florida,1,1
hallucination_correction,0,when will fairy tail final season be released?,['2018'],"The final season of Fairy Tail, also known as Fairy Tail: Final Season,","The final season of Fairy Tail, titled ""Fairy Tail Final Season"", was",0,0
hallucination_correction,0,where does the term pop music come from?,['Britain'],"From ""popular music"".","From ""popular music"".",0,0
hallucination_correction,0,what is the poorest county in the state of florida?,['Union'],Hamilton County.,Hamilton County.,0,0
hallucination_correction,0,who played the princess in kingsman secret service?,['Hanna Alström'],Sophie Cookson,Sophie Cookson,0,0
hallucination_correction,0,who did the united states win its independence from?,"['Great Britain', 'the British Empire']",Great Britain,Great Britain,1,1
hallucination_correction,0,where was the u.s.s maine when it exploded in 1898?,['Havana Harbor'],"Havana, Cuba","Havana, Cuba",0,1
hallucination_correction,0,how long do nhl players stay on waivers?,['24 hours'],3-4 days,3-4 days,0,0
hallucination_correction,0,who wrote song what a friend we have in jesus?,"['Charles Crozat Converse', 'Joseph M. Scriven', 'William Bolcom']",Charles Crozat Converse,Charles Crozat Converse,1,1
hallucination_correction,0,who plays the dragon queen from game of thrones?,['Emilia Clarke'],Emilia Clarke,Emilia Clarke,1,1
hallucination_correction,0,who sang i want to be bobbys girl?,['Marcie Blane'],Lesley Gore,Lesley Gore,0,0
hallucination_correction,0,india's first arctic research station set up in 2008 what is the name?,['Himadri Station'],Heimdal,Heimdal,0,0
hallucination_correction,0,how many ammendments to the constitution have there been?,"['Twenty - seven', 'Thirty - three']",27,27,1,1
hallucination_correction,0,jharkhand which festival is associated with cattle worship?,['Sohrai'],Rath Yatra,Sarhul,0,0
hallucination_correction,0,which foreign currency option is the​ right but not the​ obligation to buy foreign​ currency?,['foreign exchange option'],Call option.,Call option.,0,0
hallucination_correction,0,who sings don't take your guns to town?,"['Johnny Cash', 'U2']",Johnny Cash,Johnny Cash,1,1
hallucination_correction,0,why is the indian ocean the warmest in the world?,['human induced greenhouse warming'],Low salinity and high levels of freshwater input from surrounding landmasses.,Low salinity and high levels of freshwater input from surrounding landmasses.,0,0
hallucination_correction,0,who owns the delano hotel in las vegas?,['MGM Resorts International'],MGM Resorts International.,The Delano Las Vegas is owned by MGM Resorts International.,1,1
hallucination_correction,0,what is the most common blood type in sweden?,"['A+', 'AB+']",Type A.,Type A.,0,0
hallucination_correction,0,what is the point of a menstrual cup?,"['to collect menstrual flow', 'collect menstrual flow']","To collect menstrual flow for disposal, reducing the need for tampons and pads.","To collect menstrual fluid for disposal, reducing the need for tampons or pads.",1,1
hallucination_correction,0,who is the cast of despicable me 3?,"['Miranda Cosgrove', 'Nev Scharrel', 'Adrian Ciscato', 'Trey Parker', 'Pierre Coffin', 'Julie Andrews', 'Jenny Slate', 'Kristen Wiig', 'Andy Nyman', 'Dana Gaier', 'Steve Coogan', 'Steve Carell', 'John Cygan']","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove,","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove,",1,1
hallucination_correction,0,who came up with the idea of the transcontinental railroad?,['Dr. Hartwell Carver'],Asa Whitney.,Asa Whitney.,0,0
hallucination_correction,0,who is the speaker in shooting an elephant?,['Orwell'],The speaker is an unnamed British police officer.,The narrator.,0,0
hallucination_correction,0,who plays the dad in nanny mcphee and the big bang?,['Ewan McGregor'],Colin Firth,Colin Firth,0,0
hallucination_correction,0,which level of weight bearing often comes with a set number of pounds?,['Partial weight - bearing'],Partial weight bearing.,Partial weight bearing with a set number of pounds.,1,1
hallucination_correction,0,who has trained the most melbourne cup winners?,['Bart Cummings'],Lee Freedman.,Lee Freedman.,0,0
hallucination_correction,0,who created the convention on the rights of the child?,"['The United Nations', 'The UN General Assembly']",United Nations General Assembly,United Nations General Assembly,1,1
hallucination_correction,0,what is the full form of ib board?,"['The International Baccalaureate', 'International Baccalaureate']",International Baccalaureate,International Baccalaureate,1,1
hallucination_correction,0,where do rory and paris go to college?,"['Yale University ,', 'Yale University']",Yale University.,Yale University.,1,1
hallucination_correction,0,lilo and stitch the series season 1 episode 1?,['Richter'],"""Lilo Ho'ohule'a""","""Lilo Ho'ohuiwa""",0,0
hallucination_correction,0,what type of reproduction do whiptail lizards use?,"['parthenogenesis', 'parthenogenic', 'Parthenogenesis']",Parthenogenesis,Parthenogenesis,1,1
hallucination_correction,0,what is the female lion called in lion king?,['Nala'],Sarabi,Sarabi,0,0
hallucination_correction,0,when does the heart develop and begin pumping blood?,"['by week 4 of development', 'week 4 of development']",The heart develops from the third week of embryonic development and begins pumping blood by,The heart develops from the third week of embryonic development and begins pumping blood by,1,1
hallucination_correction,0,where does the movie road to perdition take place?,"['Chicago', 'Rock Island , Illinois']",The movie Road to Perdition takes place in the 1930s in the,The movie Road to Perdition takes place in the 1930s in the,0,0
hallucination_correction,0,what are the five compulsory prayers in islam?,"['Zuhr', 'Isha', 'Maghrib', 'Asr', 'Fajr']","Salah, Fajr, Dhuhr, Asr, Magh","Salah (Fajr), Dhuhr, Asr, Magh",1,0
hallucination_correction,0,where does new york drinking water come from?,['the eastern Catskill Mountains'],Upstate New York and the Catskill Mountains.,Upstate New York and the Catskill Mountains.,0,0
hallucination_correction,0,who wrote shes always a woman to me?,"['Billy Joel', 'Joel']",Morrissey,Jason Isbell,0,0
hallucination_correction,0,who sang how can you mend a broken heart first?,"['Bee Gees', 'the Bee Gees']",The Bee Gees.,Robert Wyatt,1,0
hallucination_correction,0,what are the 5 boroughs of new york city?,"['Staten Island', 'Queens', 'Brooklyn', 'the Bronx', 'Manhattan']","Manhattan, Brooklyn, Queens, the Bronx, and Staten Island.","Manhattan, Brooklyn, Queens, the Bronx, and Staten Island.",1,1
hallucination_correction,0,how many walker texas ranger seasons are there?,"['Eight', '8']",12,12,0,0
hallucination_correction,0,when did ibuprofen become available over the counter?,"['1983', '1984']",1976,1976,0,0
hallucination_correction,0,where was the salvation army's christmas collection kettle first introduced?,"['San Francisco', 'in San Francisco']","New York City, 1891.","New York City, 1891.",0,0
hallucination_correction,0,where is this years army navy game played?,"['Lincoln Financial Field', 'Lincoln Financial Field in Philadelphia']","Gale Stadium, Fort Bragg, North Carolina.","Gale Stadium, Fort Bragg, North Carolina.",0,0
hallucination_correction,0,who wrote the french declaration of the rights of man and of the citizen?,"['Thomas Jefferson', 'Lafayette', 'General Lafayette', 'Honoré Mirabeau']",Jean-Sylvain Bailly and Louis Michel Lepeletier de Saint-F,Jean-Jacques Rousseau,0,0
hallucination_correction,0,whos jack the ripper in gotham by gaslight?,['Jacob Packer'],Selina Kyle (Catwoman).,Selina Kyle (Catwoman).,0,0
hallucination_correction,0,what was the original purpose of the kremlin?,"[""the tsar 's Moscow residence""]",Fortress and citadel.,Fortress and citadel.,0,0
hallucination_correction,0,converting stereo signal to mono signal is called?,['Panning'],Summing.,Summing.,0,0
hallucination_correction,0,who played taylor on the bold and beautiful?,"['Sherilyn Wolter ( 1990 )', 'Hunter Tylo', 'Sherilyn Wolter']",Krista Allen,Krista Allen,0,0
hallucination_correction,0,who wrote most of the declaration of independance?,['Thomas Jefferson'],Thomas Jefferson.,Thomas Jefferson.,1,1
hallucination_correction,0,kings and queens of england in the 1900s?,"['George V', 'Elizabeth II', 'George VI', 'Edward VII', 'Edward VIII']","Edward VII (1901-1910), George V (1910-193","Edward VII (1901-1910), George V (1910-193",1,1
hallucination_correction,0,describe the three phases of the normal blood clotting process?,"['vasoconstriction ,', 'blood coagulation']",1. Primary hemostasis: Platelet adhesion and aggregation at the site,1. Primary Hemostasis: Platelet adhesion and aggregation at the site,0,0
hallucination_correction,0,who plays meredith quill in guardians of the galaxy 2?,['Laura Jane Haddock'],Karen Gillan,Karen Gillan,0,0
hallucination_correction,0,where does cleavage of the peptide bond by chymotrypsin occur?,['digestive systems'],"On the carboxyl side of tyrosine, tryptophan,","On the carboxyl side of tyrosine, tryptophan,",0,0
hallucination_correction,0,who plays joker in batman the dark knight?,['Ledger'],Heath Ledger,Heath Ledger,1,1
hallucination_correction,0,what is the name of the hyena in lion king?,"['Shenzi', 'Banzai', 'Ed']",Shenzi,Shenzi,1,1
hallucination_correction,0,when did movies start coming out in color?,"['introduced around 1940', '1895']",1916,1932,0,0
hallucination_correction,0,in florida it is illegal to sell alcohol before 1 pm on any sunday. this is an example of?,['Blue laws'],Blue law.,Blue law.,1,1
hallucination_correction,0,where does the red badge of courage take place?,['the field of battle'],The American Civil War.,The American Civil War.,0,0
hallucination_correction,0,what is the setting of a dolls house?,"['a Norwegian town circa 1879', 'a Norwegian town']",Norway in the late 19th century.,Norway in the late 19th century.,0,0
hallucination_correction,0,when is the next episode of flash airing?,"['May 8 , 2018']","The next episode of The Flash is scheduled to air on March 9,",The Flash is currently on hiatus and has not been renewed for a new season.,0,0
hallucination_correction,0,when does the new season of law and order svu come on?,"['September 27 , 2017']",The new season of Law & Order: SVU typically premieres in September or,The 24th season of Law & Order: SVU premiered on November,1,0
hallucination_correction,0,where does the electron transport chain pumps protons?,"['mitochondrial membrane', 'across a membrane']",In the mitochondrial inner membrane.,In the mitochondrial inner membrane.,1,1
hallucination_correction,0,who is the no. 1 ranked tennis player in the world?,['Rafael Nadal'],Novak Djokovic,Novak Djokovic,0,0
hallucination_correction,0,what type of bridge is the charles bridge?,"['a bow bridge', 'bow bridge', 'Stone']",Arched stone bridge.,Arched stone bridge.,1,0
hallucination_correction,0,when did the soviet union first gain control of parts of poland and the baltic republics?,['14 June 1940'],September 1939,September 1939,0,0
hallucination_correction,0,who is tinker air force base named after?,['Major General Clarence L. Tinker'],"Tinker Air Force Base is named after Major General Clarence L. Tinker,","Tinker Air Force Base is named after Major General Clarence L. Tinker,",1,1
hallucination_correction,0,when does i'm a celebrity get me out of here start in the uk?,['2018'],September.,September.,0,0
hallucination_correction,0,who did the whistling in the muppet movie?,"['Andrew Bird', 'musician Andrew Bird']",Kermit the Frog.,Kermit the Frog.,0,0
hallucination_correction,0,who is the first indian woman to be canonized as a saint?,['Saint Alphonsa'],Alphonsa of the Immaculate Conception.,Alphonsa of the Immaculate Conception.,0,0
hallucination_correction,0,when's the last time the philadelphia eagles played the new england patriots?,['in Super Bowl LII'],"January 21, 2018.","January 21, 2018",0,0
hallucination_correction,0,who was the author of the art of war?,['Sun Tzu'],Sun Tzu,Sun Tzu,1,1
hallucination_correction,0,how many times has south korea held the winter olympics?,['two'],2,Once.,1,0
hallucination_correction,0,when was where have all the flowers gone written?,['1955'],1955,1958,1,0
hallucination_correction,0,who is the number one ranked golfer in the world right now?,['Dustin Johnson'],Jon Rahm,Jon Rahm,0,0
hallucination_correction,0,who is credited with creating the gothic art movement?,['Abbot Suger'],Abelard.,Abelard.,0,0
hallucination_correction,0,who sang what are we doing in love?,"['Dottie West', 'Kenny Rogers']",Nat King Cole.,Judy Garland,0,0
hallucination_correction,0,who played young clark kent in 1978 superman?,['Jeff East'],Stacy Haiduk,Stacy Haiduk,0,0
hallucination_correction,0,what are the zords in the power rangers movie?,['animal - themed Ninja Zords'],"Dragonzord, Megazord, Mastodon, Saber-Toothed","Dragonzord, Megazord, Mastodon, Saber-Toothed",0,0
hallucination_correction,0,how long prime minister stay in office canada?,['four years'],"Indefinite, as the Prime Minister serves at the pleasure of the Governor General","Indefinite, as the Prime Minister serves at the pleasure of the Governor General",0,0
hallucination_correction,0,whats the difference between tomato paste and tomato puree?,['consistency'],Tomato paste is a concentrated form of tomatoes that has been cooked down to remove,Tomato paste is a concentrated form of tomatoes that has been cooked down to remove,0,0
hallucination_correction,0,what was the ancient chinese umbrella used for?,['a defense against rain'],Symbol of status and wealth.,Symbol of status and wealth.,0,0
hallucination_correction,0,isdn uses b & d channels. what is d channel use for?,"['control and signaling information', 'data', 'carries control and signaling information']",Signaling.,Signaling.,0,0
hallucination_correction,0,who picks the chief justice of the illinois supreme court?,['the court'],The Illinois Supreme Court justices elect the Chief Justice among themselves.,The Illinois Supreme Court justices elect the Chief Justice of the Illinois Supreme Court.,0,1
hallucination_correction,0,when did seat belts become law in ontario?,"['January 1 , 1976']",1978,"November 1, 1989",0,0
hallucination_correction,0,who plays scrooge mcduck in the new ducktales?,['David Tennant'],David Tennant,David Tennant,1,1
hallucination_correction,0,what was vietnam called in the years before world war 2?,['French Indochina'],French Indochina.,French Indochina.,1,1
hallucination_correction,0,who wins the next iron chef super chefs?,"['Geoffrey Zakarian', 'Zakarian']",I don't have information about the outcome of a specific episode of Iron Chef Super,"I'm not aware of any information about the ""Iron Chef Super Chefs""",0,0
hallucination_correction,0,theme of the song roar by katy perry?,"['standing up for oneself', 'self - empowerment']",Empowerment and self-acceptance.,Empowerment and self-acceptance.,0,0
hallucination_correction,0,who wants a heart in the wizard of oz?,"['the Tin Woodman', 'Tin Woodman']",The Scarecrow.,The Scarecrow.,0,0
hallucination_correction,0,when did cricket go to 6 ball overs?,"['1979 / 80', 'Since 1979 / 80']",Cricket has never had 6-ball overs.,Cricket has never had 6-ball overs.,0,0
hallucination_correction,0,when is dancing on ice on the tv?,['2019'],Dancing on Ice typically airs on ITV in the UK from January to March.,Dancing on Ice typically airs on ITV in the UK from January to March.,0,0
hallucination_correction,0,who directed the best years of our lives?,['William Wyler'],William Wyler,William Wyler,1,1
hallucination_correction,0,who sang the theme song for laverne and shirley?,['Cyndi Grecco'],Penny Marshall and Cindy Williams.,Penny Marshall and Cindy Williams.,0,1
hallucination_correction,0,who wrote the song to make you feel my love?,['Bob Dylan'],Gretchen Peters,Gretchen Peters,0,0
hallucination_correction,0,what are the importance of rigor mortis in meat processing?,['tenderness of meat'],"Determines post-mortem interval, helps in estimating time of death, aids in","Rigor mortis helps in:

* Determining post-mortem interval
*",1,0
hallucination_correction,0,who sang the song good morning good morning?,"['Judy Garland', ""Donald O'Connor"", 'Gene Kelly', 'Debbie Reynolds', 'Mickey Rooney']",The Beatles.,The Beatles,0,0
hallucination_correction,0,who wrote the song would i lie to you?,"['Peter Vale', 'Mike Leeson']",Dan Hill and John Sheard.,Dan Hill and John Sheahan.,0,0
hallucination_correction,0,who has the highest paid contract in the nba?,['Stephen Curry'],Stephen Curry.,Stephen Curry.,1,1
hallucination_correction,0,where was percy jackson and the olympians filmed?,"['Vancouver', 'Mission , British Columbia']",Greece.,Greece.,0,0
hallucination_correction,0,state the position of india in terms of population size?,['second'],Second,Second,1,1
hallucination_correction,0,what is the area code for phoenix arizona?,"['602', '623', '480']",480,480,1,1
hallucination_correction,0,when was i don't like mondays released?,"['21 July 1979', '1979']",1981,1981,0,0
hallucination_correction,0,who does the voice of nala in the lion king?,"['Laura Williams', 'Moira Kelly', 'Sally Dworsky', 'Niketa Calame']",Moira Kelly,Moira Kelly,1,1
hallucination_correction,0,which nfl coach has the most superbowl rings?,['Bill Belichick'],Bill Belichick.,Bill Belichick.,1,1
hallucination_correction,0,who was originally cast to play indiana jones?,['Tom Selleck'],Burt Reynolds,Burt Reynolds,0,0
hallucination_correction,0,who was the head of the spanish inquisition?,"['Grand Inquisitor', 'Dominican Tomás de Torquemada', 'Tomás de Torquemada']",Tomás de Torquemada,Tomás de Torquemada,1,1
hallucination_correction,0,who won the gold for the men's figure skating?,['Yuzuru Hanyu'],Yuzuru Hanyu,Yuzuru Hanyu,1,1
hallucination_correction,0,where was robin hood prince of thieves made?,['the United Kingdom'],"Morgan Creek Studios, California, USA.","Culver City, California.",0,0
hallucination_correction,0,who sang with eternal on i wanna be the only one?,['BeBe Winans'],BeBe Winans,BeBe Winans,1,1
hallucination_correction,0,who was the aztec ruler when the spanish arrived?,"['Moctezuma II', 'emperor Cuauhtemoc']",Moctezuma II,Moctezuma II,1,1
hallucination_correction,0,who sings god is great beer is good?,['Currington'],John Butler,Relient K,0,0
hallucination_correction,0,when does jo come in grey's anatomy?,"['2012', 'July 2012', 'season 9']",Jo Wilson (played by Camilla Luddington) is introduced in Season,Jo Wilson (played by Camilla Luddington) enters Grey's Anatomy in,0,0
hallucination_correction,0,factories that assemble parts made in other countries?,['special economic zones'],Contract manufacturers,Contract manufacturers,0,0
hallucination_correction,0,who was charlie writing to in perks of being a wallflower movie?,['an unknown recipient'],Sam.,Sam.,0,0
hallucination_correction,0,where does the president get authority to issue executive orders?,['Constitution'],The Constitution.,The Constitution.,1,1
hallucination_correction,0,who does dwyane wade play for right now?,"['Miami Heat', 'the Miami Heat']",Retired.,Retired.,0,0
hallucination_correction,0,who were the the continent of the americas named after logically?,['Amerigo Vespucci'],Américas,Américo Vespúcio,0,1
hallucination_correction,0,who wrote old flames cant hold a candle to you?,"['Hugh Moffatt', 'Patricia Rose Sebert', 'Pebe Sebert', 'Pebe Sebert and Hugh Moffatt']",Barbara Hambly,Wanda Coleman.,0,0
hallucination_correction,0,what is the coldest it has ever been in antarctica?,['− 128.6 ° F'],−93.2°C (−135.8°F),−93.2°C (−135.8°F),0,0
hallucination_correction,0,who won big brother head of household canada?,['Kaela'],Sarah Hanlon,Sarah Hanlon,0,0
hallucination_correction,0,what is a coherent set of values and beliefs about public policy called?,"['ideology', 'a political ideology', 'political ideology']",Philosophy.,Philosophy.,0,0
hallucination_correction,0,who plays the characters in yo gabba gabba?,"['Plex', 'Foofa', 'Toodee', 'DJ Lance Rock', 'Gooble', 'Brobee', 'Muno']","Cynthia Vance, Christian Jacobs, and Scott Schultz.","Cynthia Vance, Christian Jacobs, and Scott Schultz.",0,0
hallucination_correction,0,when did we decide to leave the eu?,['23 June 2016'],"March 29, 2017","March 29, 2017",0,0
hallucination_correction,0,who has won the most united states championships?,"['Ric Flair', 'Lex Luger']",Billie Jean King,Billie Jean King,0,0
hallucination_correction,0,when did television come out in the us?,"['July 2 , 1928', '1928']",1941,1941,0,0
hallucination_correction,0,who sold the most records elvis or the beatles?,['The Beatles'],The Beatles.,The Beatles.,1,1
hallucination_correction,0,when does buffy tell her friends she was in heaven?,['Something to Sing About'],"In ""The Zeppo"" (Season 4, Episode 13).","In the episode ""The Zeppo"" (Season 4, Episode 13",0,0
hallucination_correction,0,when was how deep is your love released?,"['September 1977', '1977']",1986,1984,0,0
hallucination_correction,0,where does the white witch live in narnia?,['her castle'],In the Waste Land.,In the Waste Land.,0,0
hallucination_correction,0,who sang on the back in black album?,"['Brian Johnson', 'Malcolm Young', 'Cliff Williams']","Angus Young, Brian Johnson, and Malcolm Young.",Angus Young and Brian Johnson.,1,1
hallucination_correction,0,who wrote it's gonna take a lot of love?,['Neil Young'],Dolly Parton.,Stevie Wonder.,0,0
hallucination_correction,0,when does the boy in the striped pajamas take place?,"['World War II', 'during World War II']",1938-1939,1938-1939,0,0
hallucination_correction,0,i was a great islamic scholar and mathematician who died in 1131 ce?,['Omar Khayyam'],Al-Khazini.,Omar Khayyam,0,1
hallucination_correction,0,who won oscar for best director this month?,['Guillermo del Toro'],I'm not aware of any recent Oscar winners for Best Director. The Academy Awards,I'm not aware of any recent Oscar winners for Best Director. The Academy Awards,0,0
hallucination_correction,0,what's in a beam me up scotty?,"['phencyclidine', 'cocaine']",Scotty.,Scotty.,0,0
hallucination_correction,0,mark who went to golf majors in 1998?,"[""O'Meara"", ""Mark O'Meara""]",Mark O'Meara,Mark O'Meara,1,1
hallucination_correction,0,which was the first village of karnataka which declared independence?,['Hyderabad'],Nandi Hills.,Nandi Hills.,0,0
hallucination_correction,0,who does stefan marry in the vampire diaries?,['Caroline Forbes'],Elena Gilbert.,Elena Gilbert.,0,0
hallucination_correction,0,what is the meaning of the name habib?,"[""`` beloved ''"", 'beloved']",Loved one.,Beloved.,0,1
hallucination_correction,0,how much does a new gulfstream g650 cost?,"['$66.5 million', 'US $ 66.61 million']",$70 million - $80 million.,$70 million - $80 million.,0,0
hallucination_correction,0,who plays the voice of johnny in sing?,['Taron Egerton'],Matthew Morrison,Matthew Morrison,0,0
hallucination_correction,0,who played junior on in the heat of the night?,['Christian LeBlanc'],Noble Willingham.,Sidney Poitier,0,0
hallucination_correction,0,when will the la sagrada familia be finished?,"['2026', '2026 -- 2028', 'by 2026']",Estimated completion: 2026-2032.,Estimated completion: 2026-2032.,1,1
hallucination_correction,0,who was the first elected president of pakistan?,"['Iskander Mirza', 'JB Talha Khan']",Ayub Khan,Ayub Khan,0,0
hallucination_correction,0,who played michael jackson in jackson 5 movie?,"['Alex Burrall', 'Jason Weaver', 'Abolade David Olatunde', 'Wylie Draper']",Jermaine Jackson,Jermaine Jackson,0,0
hallucination_correction,0,who played gino in a place to call home?,['Aldo Mignone'],David Berry.,Jenni Baird.,0,0
hallucination_correction,0,when was the first wonder woman comic released?,"['December 1941', 'January 1942', 'October 1941']",1941,1941,1,1
hallucination_correction,0,who hosted and won the inagural world cup?,['Uruguay'],Uruguay,Uruguay,1,1
hallucination_correction,0,who were the two mathematicians that invented calculus?,"['Gottfried Leibniz', 'Isaac Newton']",Isaac Newton and Gottfried Wilhelm Leibniz,Isaac Newton and Gottfried Wilhelm Leibniz,1,1
hallucination_correction,0,who is singing in something just like this?,"['The Chainsmokers', 'Chris Martin', 'Coldplay', 'Will Champion']",Elton John,Elton John,0,0
hallucination_correction,0,another name for the torso is the blank region of the body?,['trunk'],Chest.,Thorax,0,0
hallucination_correction,0,when was the first australian prime minister elected?,"['Sir Edmund Barton', '1901']",1901,1901,1,1
hallucination_correction,0,dendrites and cell bodies are components of what type of matter found in the brain?,"['gray', 'Grey matter']",Neurons,Neurons,0,0
hallucination_correction,0,who sang oh annie i not your daddy?,"['Kid Creole & The Coconuts', 'Kid Creole and the Coconuts']",Ray Charles and Gladys Knight.,Ray Charles,0,0
hallucination_correction,0,when did the golden state warriors win the finals?,"['2015', '1956', '1975', '1947', '2017']","2015, 2017, 2018","2015, 2017, 2018",1,1
hallucination_correction,0,when did disney art of animation resort open?,"['May 31 , 2012']","May 31, 2012","May 31, 2012",1,1
hallucination_correction,0,what is the name of the lymphatic vessels located in the small intestine?,"['lacteal', 'A lacteal', 'lacteals']",Lacteals.,Lacteals.,1,1
hallucination_correction,0,where does the eurostar train arrives in london?,['St Pancras International'],St Pancras International.,St Pancras International.,1,1
hallucination_correction,0,who hit 6 sixes in an over in test cricket?,"['Ravi Shastri', 'Garfield Sobers']",Ravi Shastri.,Ravi Shastri.,1,1
hallucination_correction,0,where is gall bladder situated in human body?,['beneath the liver'],Under the liver.,Right upper quadrant of the abdomen.,1,0
hallucination_correction,0,how old do you have to be to get a gun licence in nz?,['16 or older'],18,18,1,1
hallucination_correction,0,what group of animals do octopus belong to?,['class Cephalopoda'],Mollusks.,Mollusks.,0,0
hallucination_correction,0,the first element on the periodic table is?,"['Hydrogen', 'hydrogen']",Hydrogen.,Hydrogen.,1,1
hallucination_correction,0,where are more than half your bones located?,['the appendicular skeleton'],Pelvis.,Pelvis.,0,0
hallucination_correction,0,who acts as the chairman of the election commission?,"['Achal Kumar Jyoti', 'The Chief Election Commissioner', 'Chief Election Commissioner']",The Chief Election Commissioner of India acts as the Chairman of the Election Commission.,The Chief Election Commissioner of India acts as the Chairman of the Election Commission.,1,1
hallucination_correction,0,when does the stock market open in hong kong?,['09 : 15'],9:00 AM (GMT+8),9:00 AM (GMT+8),0,0
hallucination_correction,0,where was the original planet of the apes filmed at?,"['Utah', 'in northern Arizona', 'California', 'Arizona']","Mallorca, Spain.","California, USA.",0,0
hallucination_correction,0,mainland greece is a body of land with water on three sides called?,"['peninsula', 'peninsular']",Pentagonal.,Pentagonal.,0,0
hallucination_correction,0,who dies in transformers revenge of the fallen?,"['Jetfire', 'Ravage and the Decepticon Rampage']",Ratchet,Ratchet,0,0
hallucination_correction,0,when did world war 2 officially start and end?,"['1939', '2 September 1945', '1945', '1 September 1939']","September 1, 1939 - September 2, 1945","September 1, 1939, and September 2, 1945",1,1
hallucination_correction,0,north carolina delegate to the second continental congress?,"['William Blount', 'Timothy Bloodworth', 'John B. Ashe']",William Hooper,William Hooper,0,0
hallucination_correction,0,when did the united states became a nation?,"['1776', 'In 1776', 'July 4 , 1776']","September 17, 1787","September 17, 1787",0,0
hallucination_correction,0,when did linkin park release one more light?,"['May 19 , 2017']",2017,2017,0,0
hallucination_correction,0,who was the last nba player to get drafted out of high school?,['Thon Maker'],Wenyen Gabriel,Andrew Bogut (2005),0,0
hallucination_correction,0,where is the largest salt mine in the us?,"['Western New York', 'Central New York']","Sallisaw, Oklahoma.","Sallisaw, Oklahoma.",0,0
hallucination_correction,0,who is the highest selling r&b artist of all time?,"['Rihanna', 'Michael Jackson']",Mariah Carey,Mariah Carey,0,0
hallucination_correction,0,where is the lost dutchman's mine supposed to be located?,['in the southwestern United States'],"Superstition Mountains, Arizona.","Superstition Mountains, Arizona.",0,0
hallucination_correction,0,who is pictured on the 5000 dollar bill?,['James Madison'],William McKinley,William McKinley,0,0
hallucination_correction,0,the plane of earth's orbit is called the?,['ecliptic'],Ecliptic,Ecliptic,1,1
hallucination_correction,0,the roman name for a liberal arts education is known as?,"['artes liberales', 'liberalia studia']",Liberalium Artium,Liberalium Artium.,1,1
hallucination_correction,0,creating appropriation bills falls under which power of congress?,['raising revenue'],The Power of the Purse.,The Power of the Purse.,0,0
hallucination_correction,0,when was the last time there was a school shooting in canada?,"['January 22 , 2016']","December 15, 2020","December 15, 2020",0,0
hallucination_correction,0,when did dragon ball z air in australia?,['Fall 1998'],1998-2000.,1998-2000 on Network Ten.,0,0
hallucination_correction,0,when do you get your white coat in pharmacy school?,['before the first year begins'],Typically in the second year.,"Typically, students receive their white coat during the first or second week of pharmacy",0,0
hallucination_correction,0,who sang last night on saturday night live?,['Childish Gambino'],Taylor Swift,Taylor Swift,0,0
hallucination_correction,0,who is directly elected according to the constitution?,['senators'],The President.,The President of India.,0,0
hallucination_correction,0,when does the day of the dead end?,['November 2'],November 2nd,November 2nd,1,0
hallucination_correction,0,who played morticia in the addams family tv show?,['Carolyn Sue Jones'],Carolyn Jones,Carolyn Jones,1,1
hallucination_correction,0,where was harry potter and the deathly hallows part 1 filmed?,['on location'],"London, England, and Gloucester, England.","London, England; Gloucester, England; and Oxford, England.",0,0
hallucination_correction,0,when did cristiano ronaldo go to manchester united?,"['at age 18 in 2003', '2003']",2003,2003,1,1
hallucination_correction,0,number of employees in the department of health and human services?,"['79,540', '79,540 ( 2015 )']","Over 80,000.","Over 80,000.",0,0
hallucination_correction,0,how many super bowl games has the patriots played in?,"['ten', 'ten times', '10']",11,11,0,0
hallucination_correction,0,panda is a national animal of which country?,['China'],China,China,1,1
hallucination_correction,0,what us president is the only president to become an eagle scout?,['Ford'],Dwight D. Eisenhower,Dwight D. Eisenhower,0,0
hallucination_correction,0,how many seasons has greys anatomy been on tv?,['14'],18,18,0,0
